url,prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,popularity
http://upload.wikimedia.org/wikipedia/en/thumb/e/e4/James_Johnson.jpg/200px-James_Johnson.jpg,1,1,1,1,1,1,1,1,0
http://en.wikipedia.org/images/wiki-en.png,2,2,2,0,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Australia.svg/22px-Flag_of_Australia.svg.png,1,1,3,1,2,2,2,2,1
http://es.wikipedia.org/w/index.php?title=-&action=raw&gen=js&useskin=monobook,3,3,4,0,0,0,0,0,1
http://en.wikipedia.org/w/index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,2,3,5,2,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/50px-Commons-logo.svg.png,1,1,1,1,3,3,3,3,1
http://en.wikipedia.org/skins-1.5/monobook/IE60Fixes.css?99,2,4,6,3,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/20px-Flag_of_Spain.svg.png,1,1,3,1,4,4,4,4,1
http://pl.wikipedia.org/skins-1.5/common/images/poweredby_mediawiki_88x31.png,4,4,7,4,5,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Cathedrale_d_angers_1.jpg/180px-Cathedrale_d_angers_1.jpg,1,1,3,1,6,5,5,5,0
http://pl.wikipedia.org/skins-1.5/common/commonPrint.css?99,4,4,7,5,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Wikimedia-logo.png/75px-Wikimedia-logo.png,1,1,3,1,7,6,6,6,0
http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Gay_flag.svg/100px-Gay_flag.svg.png,1,1,3,1,6,7,7,7,0
http://de.wikipedia.org/skins-1.5/monobook/main.css?90,5,4,6,6,0,0,0,0,0
http://en.wikipedia.org/skins-1.5/common/images/magnify-clip.png,2,4,7,4,8,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/d/d4/Button_hide.png,1,1,3,7,9,8,0,0,1
http://en.wikipedia.org/skins-1.5/monobook/headbg.jpg,2,4,6,8,0,0,0,0,1
http://en.wiktionary.org/wiki/revealed,6,5,8,0,0,0,0,0,0
http://en.wikipedia.org/wiki/Beowulf_%282007_film%29,2,5,9,0,0,0,0,0,0
http://pt.wikipedia.org/skins-1.5/common/images/button_sig.png,7,4,7,4,10,0,0,0,0
http://es.wikipedia.org/wiki/Cha%C3%AFm_Perelman,3,5,10,0,0,0,0,0,0
http://de.wikipedia.org/skins-1.5/monobook/main.css?99,5,4,6,9,0,0,0,0,1
http://hu.wikipedia.org/skins-1.5/monobook/headbg.jpg,8,4,6,8,0,0,0,0,0
http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_the_United_Kingdom.svg/20px-Flag_of_the_United_Kingdom.svg.png,1,1,3,1,11,9,8,8,1
http://de.wikipedia.org/wiki/Spezial:Search?search=steuerfreibetrag&go=Artikel&sourceid=mozilla-20,5,5,11,0,0,0,0,0,0
http://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Portal.svg/28px-Portal.svg.png,1,1,3,1,12,10,9,9,1
http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Church_in_Kilkenny.jpg/250px-Church_in_Kilkenny.jpg,1,1,3,1,13,11,10,10,0
http://es.wikipedia.org/favicon.ico,3,6,0,0,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Flag_of_NATO.svg/76px-Flag_of_NATO.svg.png,1,1,3,1,14,12,11,11,1
http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Namib_desert_dunes.jpg/300px-Namib_desert_dunes.jpg,1,1,3,1,4,13,12,12,0
http://de.wikipedia.org/skins-1.5/common/ajax.js?99,5,4,7,10,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Plates_tect2_en.svg/180px-Plates_tect2_en.svg.png,1,1,3,1,15,14,13,13,0
http://ca.wikipedia.org/w/index.php?title=-&action=raw&gen=css&maxage=2678400,9,3,12,0,0,0,0,0,0
http://en.wikipedia.org/skins-1.5/common/shared.css?99,2,4,7,11,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Graham_Coxon_What_Ya-Bloody_Annoying_cover.jpg/200px-Graham_Coxon_What_Ya-Bloody_Annoying_cover.jpg,1,1,1,1,12,15,14,14,0
http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/22px-Flag_of_Austria.svg.png,1,1,3,1,3,16,15,15,1
http://es.wikipedia.org/w/index.php?title=MediaWiki:Common.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,3,3,13,2,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/es/thumb/3/30/75px-Diagrama_NET.jpg,1,1,14,1,14,17,16,0,0
http://en.wikipedia.org/skins-1.5/common/ajax.js?99,2,4,7,10,0,0,0,0,1
http://fr.wikipedia.org/skins-1.5/common/images/magnify-clip.png,10,4,7,4,8,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/William_Joyce.jpg/250px-William_Joyce.jpg,1,1,3,1,7,18,17,16,0
http://en.wikipedia.org/w/opensearch_desc.php,2,3,15,0,0,0,0,0,1
http://en.wikipedia.org/wiki/Special:Random,2,5,16,0,0,0,0,0,1
http://en.wikipedia.org/w/index.php?title=MediaWiki:Common.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,2,3,13,2,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/22px-Flag_of_Germany.svg.png,1,1,3,1,2,19,18,17,1
http://sv.wikipedia.org/skins-1.5/monobook/headbg.jpg,11,4,6,8,0,0,0,0,1
http://fi.wikipedia.org/skins-1.5/monobook/external.png,12,4,6,12,0,0,0,0,1
http://fr.wikipedia.org/skins-1.5/monobook/headbg.jpg,10,4,6,8,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Florida.svg/20px-Flag_of_Florida.svg.png,1,1,3,1,16,20,19,18,0
