prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,popularity
1.0,1,1,1,1,1,1,1,0
2.0,2,2,0,0,0,0,0,1
1.0,1,3,1,2,2,2,2,1
3.0,3,4,0,0,0,0,0,1
2.0,3,5,2,0,0,0,0,1
1.0,1,1,1,3,3,3,3,1
2.0,4,6,3,0,0,0,0,1
1.0,1,3,1,4,4,4,4,1
4.0,4,7,4,5,0,0,0,1
1.0,1,3,1,6,5,5,5,0
4.0,4,7,5,0,0,0,0,1
1.0,1,3,1,7,6,6,6,0
1.0,1,3,1,6,7,7,7,0
5.0,4,6,6,0,0,0,0,1
2.0,4,7,4,8,0,0,0,1
1.0,1,3,7,9,8,0,0,1
2.0,4,6,8,0,0,0,0,1
6.0,5,8,0,0,0,0,0,0
2.0,5,9,0,0,0,0,0,0
7.0,4,7,4,10,0,0,0,1
3.0,5,10,0,0,0,0,0,0
5.0,4,6,9,0,0,0,0,1
8.0,4,6,8,0,0,0,0,1
1.0,1,3,1,11,9,8,8,1
5.0,5,11,0,0,0,0,0,0
1.0,1,3,1,12,10,9,9,1
1.0,1,3,1,13,11,10,10,0
3.0,6,0,0,0,0,0,0,1
1.0,1,3,1,14,12,11,11,1
1.0,1,3,1,4,13,12,12,0
5.0,4,7,10,0,0,0,0,1
1.0,1,3,1,15,14,13,13,0
9.0,3,12,0,0,0,0,0,1
2.0,4,7,11,0,0,0,0,1
1.0,1,1,1,12,15,14,14,0
1.0,1,3,1,3,16,15,15,1
3.0,3,13,2,0,0,0,0,1
1.0,1,14,1,14,17,16,0,0
2.0,4,7,10,0,0,0,0,1
10.0,4,7,4,8,0,0,0,1
1.0,1,3,1,7,18,17,16,0
2.0,3,15,0,0,0,0,0,1
2.0,5,16,0,0,0,0,0,1
2.0,3,13,2,0,0,0,0,1
1.0,1,3,1,2,19,18,17,1
11.0,4,6,8,0,0,0,0,1
12.0,4,6,12,0,0,0,0,1
10.0,4,6,8,0,0,0,0,1
1.0,1,3,1,16,20,19,18,1
3.0,5,17,0,0,0,0,0,0
1.0,1,3,1,11,21,20,19,0
12.0,4,6,13,0,0,0,0,1
10.0,3,4,0,0,0,0,0,1
1.0,1,3,14,17,22,0,0,0
1.0,1,3,1,13,23,21,20,1
1.0,1,1,15,18,24,0,0,1
2.0,4,6,9,0,0,0,0,1
2.0,5,18,0,0,0,0,0,0
1.0,1,1,16,19,25,0,0,0
10.0,4,7,10,0,0,0,0,1
13.0,3,5,2,0,0,0,0,1
3.0,5,19,0,0,0,0,0,0
1.0,1,3,1,13,26,22,21,1
1.0,1,1,1,6,27,23,22,0
1.0,7,20,17,3,28,0,0,0
11.0,3,15,0,0,0,0,0,1
5.0,4,7,4,10,0,0,0,1
1.0,1,3,1,1,29,24,23,0
1.0,1,3,1,15,30,25,24,0
5.0,3,21,18,20,31,0,0,0
5.0,4,6,8,0,0,0,0,1
1.0,1,3,1,6,32,26,25,1
14.0,3,22,19,0,0,0,0,1
7.0,5,23,0,0,0,0,0,0
5.0,4,7,4,8,0,0,0,1
5.0,4,7,11,0,0,0,0,1
2.0,3,24,0,0,0,0,0,0
1.0,1,3,1,21,33,27,26,0
1.0,1,1,16,22,34,0,0,1
2.0,4,7,4,5,0,0,0,1
2.0,4,6,13,0,0,0,0,1
1.0,7,25,20,14,35,0,0,0
1.0,1,3,1,14,36,28,27,1
10.0,4,7,11,0,0,0,0,1
1.0,1,1,21,23,37,0,0,1
1.0,1,3,1,16,38,29,28,1
5.0,3,12,0,0,0,0,0,1
15.0,8,0,0,0,0,0,0,1
1.0,1,1,1,24,39,30,29,0
2.0,5,26,0,0,0,0,0,0
7.0,4,7,10,0,0,0,0,1
1.0,1,3,1,24,40,31,30,0
2.0,4,6,22,0,0,0,0,1
2.0,3,12,0,0,0,0,0,1
1.0,1,3,1,7,41,32,31,0
1.0,1,3,1,6,42,33,32,0
1.0,1,3,23,25,43,0,0,0
1.0,1,27,21,26,44,0,0,1
16.0,5,28,0,0,0,0,0,0
4.0,3,12,0,0,0,0,0,1
